|artist_type_encoded|genre_encoded|edad_en_billboard|top
317|0|4|29|1
318|0|4|27|0
319|0|4|25|0
320|2|4|23|1
321|2|4|32|0
322|0|1|23|0
323|0|1|19|0
324|0|0|24|0
325|0|3|27|0
326|2|3|28|1
327|1|1|32|0
328|2|3|18|0
329|0|2|41|0
330|0|3|20|0
331|0|3|20|0
332|0|4|39|0
333|0|1|30|0
334|0|1|28|0
335|2|2|26|0
336|0|2|38|0
337|0|4|33|1
338|2|3|25|0
339|1|3|22|0
340|1|1|22|0
341|1|3|27|0
342|0|4|33|1
343|0|4|27|0
344|0|1|29|0
345|0|4|23|0
346|0|3|45|0
347|1|4|23|1
348|0|2|47|0
349|0|4|25|0
350|0|4|28|0
351|0|3|22|0
352|2|1|18|0
353|0|4|23|0
354|1|3|25|0
355|0|2|46|0
356|0|1|25|0
357|0|3|35|0
358|0|1|24|0
359|0|4|29|0
360|0|1|23|1
361|0|2|27|0
362|0|1|35|0
363|0|1|27|0
364|1|4|22|0
365|0|2|30|0
366|2|4|45|0
367|1|1|24|0
368|0|4|36|0
369|2|1|18|0
370|2|4|25|1
371|1|0|22|0
372|0|1|24|0
373|0|4|24|0
374|2|3|18|0
375|0|1|54|0
376|0|4|36|0
377|0|4|22|0
378|2|3|21|0
379|2|1|29|0
380|0|3|27|1
381|2|3|30|1
382|0|4|30|1
383|2|4|33|0
384|0|4|33|0
385|1|3|36|1
386|1|4|30|1
387|2|3|29|0
388|1|3|34|1
389|1|3|28|0
390|0|2|27|0
391|0|4|33|0
392|0|1|35|0
393|2|3|35|0
394|0|2|37|0
395|0|4|33|0
396|0|4|30|1
397|0|4|33|0
398|2|1|22|0
399|2|3|22|0
400|2|4|32|0
401|0|4|30|1
402|0|3|18|0
403|0|3|18|0
404|0|4|21|0
405|1|2|28|0
406|0|2|28|0
407|0|4|29|0
408|1|2|28|0
409|0|4|36|0
410|0|3|33|0
411|2|1|29|0
412|0|1|36|0
413|1|4|46|0
414|1|2|47|0
415|0|4|29|0
416|0|2|39|0
417|0|2|22|0
418|0|1|35|0
419|0|4|18|1
420|0|3|17|1
421|2|0|32|0
422|0|2|40|0
423|0|1|25|0
424|0|4|30|1
425|2|3|23|1
426|0|0|35|0
427|1|3|44|0
428|2|3|23|1
429|0|1|25|0
430|1|4|27|1
431|0|2|27|0
432|0|4|23|0
433|2|3|22|0
434|0|0|36|0
435|2|3|25|1
436|2|3|26|1
437|1|4|41|1
438|0|4|32|0
439|0|1|30|0
440|0|4|35|0
441|0|4|30|0
442|0|2|62|0
443|0|3|31|0
444|1|3|22|0
445|2|3|23|1
446|0|4|30|1
447|0|4|24|0
448|2|4|20|1
449|0|4|27|1
450|1|3|22|0
451|1|3|27|1
452|1|4|35|0
453|2|4|44|0
454|0|2|29|0
455|0|3|26|1
456|0|4|25|0
457|0|3|32|0
458|0|2|23|0
459|0|4|22|0
460|0|3|25|1
461|2|4|29|0
462|0|2|28|0
463|0|2|30|0
464|2|4|20|1
465|0|4|29|0
466|0|2|48|0
467|1|2|30|0
468|2|3|25|1
469|0|2|37|0
470|0|3|24|0
471|0|2|24|0
472|0|3|25|1
473|0|0|33|1
474|0|4|32|0
475|2|1|22|0
476|0|1|20|0
477|0|4|36|0
478|0|3|32|1
479|0|2|29|0
480|0|1|34|0
481|0|1|33|0
482|2|3|32|1
483|0|3|20|0
484|0|4|16|1
485|0|4|36|0
486|1|4|31|0
487|2|3|21|0
488|1|4|34|1
489|0|2|37|0
490|0|2|27|0
491|0|3|15|0
492|0|2|27|0
493|0|4|26|1
494|0|3|95|0
495|0|1|33|0
496|1|4|25|1
497|0|4|21|0
498|1|3|35|0
499|1|1|32|0
500|1|2|44|0
501|0|3|23|0
502|2|3|22|0
503|0|3|36|0
504|0|3|41|0
505|2|1|18|0
506|2|3|29|1
507|0|2|31|0
508|0|1|31|0
509|2|3|17|0
510|0|1|32|0
511|1|1|33|0
512|0|4|28|0
513|0|4|22|0
514|0|2|47|0
515|0|2|29|0
516|0|3|24|0
517|0|1|32|0
518|2|2|32|0
519|1|3|27|1
520|2|3|22|0
521|2|4|32|0
522|2|3|33|0
523|0|1|35|0
524|0|4|29|0
525|0|1|23|0
526|2|2|34|0
527|0|1|34|0
528|0|3|20|0
529|0|1|37|0
530|0|3|29|1
531|1|3|34|0
532|0|2|28|0
533|0|1|22|0
534|2|3|30|1
535|0|2|32|0
536|2|1|25|0
537|0|4|21|0
538|2|3|22|0
539|0|1|27|0
540|1|4|25|0
541|1|3|32|1
542|2|4|33|0
543|0|3|22|0
544|0|3|29|0
545|0|2|29|0
546|2|3|25|0
547|2|3|37|0
548|0|1|32|0
549|2|4|33|0
550|2|3|27|1
551|0|4|26|0
552|0|2|33|0
553|0|1|27|0
554|0|4|35|0
555|0|1|29|1
556|0|4|26|1
557|2|2|70|0
558|0|4|23|1
559|2|1|29|0
560|2|4|26|0
561|1|0|22|0
562|2|3|35|0
563|0|4|26|1
564|0|4|31|0
